ID,Default
487410,1
533258,1
581926,1
486301,0
580822,0
542574,0
469888,0
431366,0
567067,1
483606,0
557614,1
432804,0
530499,0
412327,0
426884,0
588830,0
583346,1
581809,0
580618,0
428438,1
532504,1
425391,1
456459,0
400730,1
562141,1
548234,0
578112,0
409520,0
554000,0
546940,0
572923,0
578721,0
414703,0
426246,0
402141,1
397230,1
447694,1
437397,0
428633,0
521708,0
426779,1
569222,0
522879,0
389630,0
451314,0
490345,1
435136,0
488385,0
420840,1
466614,0
574865,0
571376,1
449209,0
549448,0
419417,0
500741,1
514032,0
424203,0
503855,0
542058,1
531884,1
494228,0
556386,0
512314,0
416358,1
573916,0
575655,0
583392,0
458341,0
547052,0
505042,1
569907,0
418852,0
507000,0
470415,0
511691,1
558272,0
447213,0
571773,0
447829,0
533818,1
499833,0
468774,0
443925,0
562213,0
401288,0
538788,0
416031,0
538592,0
541556,1
528803,0
519738,0
433431,1
578623,1
575423,0
542570,0
415066,0
504641,0
559347,1
462962,1
490352,1
392661,0
427327,0
415683,0
472500,0
403196,0
528043,0
396962,0
475941,1
520823,0
502645,0
499361,0
530799,0
430234,0
575339,1
485681,0
510260,0
474085,1
530573,0
556015,0
535726,0
582969,0
502773,0
567682,0
566135,0
388488,0
458722,1
455236,0
511667,0
541572,0
399347,1
477903,1
590183,0
413325,0
555701,0
559631,0
468022,0
448035,0
408355,0
470978,0
417186,0
566194,0
451934,0
539859,0
480737,0
468246,0
557778,0
517672,0
533904,0
423666,1
513949,1
459787,0
471659,1
524990,0
434902,0
393969,0
394118,0
493068,0
571603,0
525677,0
583160,0
581088,0
395351,1
553125,1
388373,0
534938,0
439918,0
459665,0
472680,0
590212,1
445804,0
581221,0
551054,0
440559,0
389590,0
547602,0
461348,0
508891,0
423190,0
398451,0
473337,0
561090,0
406996,0
502633,1
419422,0
524881,0
461132,0
441704,1
512934,0
492826,0
441898,0
491648,0
488761,1
524455,0
503974,0
448432,0
513734,0
398806,1
564573,0
443470,0
496964,1
547690,0
507284,0
450619,0
460638,0
397642,0
467133,0
571067,0
493964,0
453115,0
528017,0
550410,0
551239,0
432868,0
558688,0
561354,0
444801,0
582486,0
446125,0
581091,0
432377,0
435452,0
492523,1
481221,0
468336,0
584132,1
521344,0
453336,0
481779,0
394303,0
566100,0
464486,0
477675,0
410697,0
579090,0
550297,1
391737,1
412984,0
505308,0
462690,0
449304,0
563672,1
424921,0
533154,1
420354,0
514647,0
398669,0
443741,0
432262,0
526447,0
488355,0
399492,1
585655,0
553376,1
475585,0
534708,0
495677,0
395360,1
413523,0
484855,0
546476,0
455237,1
550699,0
